As Quatro Penas Brancas;The Four Feathers;TRUE;TRUE;2002;130;Aventura;Images\5601684000017.15F.jpg
As regras de Brooklyn;Brooklyn Rules;TRUE;TRUE;2007;99;Drama;Images\5051429101453.4F.jpg
Assalto á 13ª Esquadra;Assault on Precinct 13;TRUE;TRUE;2005;104;Acção;Images\5602193324502.15F.jpg
Assalto ao Aeroporto;Die Hard 2;TRUE;TRUE;1990;123;Acção;Images\5600304162777.15F.jpg
Assalto ao Arranha-Céus;Die Hard;TRUE;TRUE;1988;127;Acção;Images\5608652000338.15F.jpg
Assalto ao metro 123;The Taking of Pelham 1 2 3;TRUE;TRUE;2009;106;Acção;Images\8414533064828.15F.jpg
Assalto Mortífero;Truth or Consequences, N.M.;TRUE;TRUE;1997;107;Acção;Images\043396826991F.jpg
Astérix & Obélix: Missão Cleópatra;Astérix & Obélix: Mission Cléopâtre;TRUE;TRUE;2002;103;0;Images\5601887436439.15F.jpg
Até ao Fim;The Deep End;TRUE;TRUE;2001;96;Suspense/Thriller;Images\5608652011150.15F.jpg
Até Que Me Encontrou ...;Then She Found Me;FALSE;TRUE;2007;98;Comédia;Images\IA43C15F845F96379.15F.jpg
Atlântida: O Continente Perdido;Atlantis: The Lost Empire;TRUE;TRUE;2001;92;Animação;Images\5601887432370.15F.jpg
Atracção Perigosa;In the Cut;FALSE;TRUE;2003;119;Suspense/Thriller;Images\5602193319027.15F.jpg
Atrás das Linhas do Inimigo;Behind Enemy Lines;TRUE;TRUE;2001;118;0;Images\5608652011013.15F.jpg
Austin Powers: O Agente Misterioso;Austin Powers: International Man of Mystery;TRUE;TRUE;1997;90;Comédia;Images\I3D50694ABA61F864.15F.jpg
Australia;0;TRUE;TRUE;2008;159;Acção;Images\5600304208635.15F.jpg
Autocarro 174;Última Parada 174;TRUE;TRUE;2008;107;Crime;Images\5606320007795.15F.jpg
Autópsia de um Crime;Sleuth;FALSE;TRUE;2007;85;Drama;Images\5608652033091.15F.jpg
Avatar;0;TRUE;TRUE;2009;162;Fantasia;Images\5600304213851.15F.jpg
Aventura no Espaço;Moonraker;TRUE;TRUE;1979;121;Acção;Images\I2A4B9D486317A55C.15F.jpg
Aviões 2:Equipa de resgate;Planes: Fire & Rescu;FALSE;TRUE;2014;84;Animação;Images\7899307921087.23F.jpg
Azul Escuro;Dark Blue;TRUE;TRUE;2002;113;0;Images\5601887454457.15F.jpg
Bad Boys;0;TRUE;TRUE;1995;114;Acção;Images\8414533023818.15F.jpg
Bad Boys 2;Bad Boys II;TRUE;TRUE;2003;141;Acção;Images\8414533023665.15F.jpg
Bad Company - Más Companhias;Bad Company;TRUE;TRUE;2002;111;0;Images\5601887444557.15F.jpg
Bad Santa - O Anti-Pai Natal;Bad Santa;FALSE;TRUE;2003;93;Comédia;Images\5600304160049.15F.jpg
Bailey Um Cão que Vale Milhões;Bailey's Millions;TRUE;TRUE;2006;85;0;Images\5600304160476.15F.jpg
Balas sobre a Broadway;Bullets Over Broadway;TRUE;TRUE;1994;96;Comédia;Images\I16F85192C66DE09E.15F.jpg
Balbúrdia na Quinta;Barnyard;TRUE;TRUE;2007;86;0;Images\5601887490363.15F.jpg
Balto & Balto Aventura na Terra do Gelo;Balto II: Wolf Quest;TRUE;TRUE;2001;76;0;Images\7892141404976.23F.jpg
Bandidas;0;TRUE;TRUE;2006;99;0;Images\5601887484904.15F.jpg
Bandidos;Bandits;TRUE;TRUE;2001;121;Comédia;Images\5601887439195.15F.jpg
Básico;Basic;TRUE;TRUE;2003;94;Suspense/Thriller;Images\5601887458189.15F.jpg
