Title,Original Title,Seen,Original DVD,Production Year,Running Time,Genre,Cover Image Front
Apocalypse Now: Redux,Apocalypse Now,TRUE,TRUE,1979,194,,Z:\Databases\DVD_1\Images\5601887439249.15F.JPG
Apollo 13,,TRUE,TRUE,1995,135,Drama,Z:\Databases\DVD_1\Images\I907104A68C51F0E3.15F.JPG
Aposta de Risco,Two for the Money,TRUE,TRUE,2005,123,,Z:\Databases\DVD_1\Images\5601887484706.15F.JPG
Aritmética Emocional,Emotional Arithmetic,FALSE,TRUE,2007,99,Drama,Z:\Databases\DVD_1\Images\ID798E85F85528831.15F.JPG
Arma Biológica,The Enemy,TRUE,TRUE,2001,90,,Z:\Databases\DVD_1\Images\5608652013758.15F.JPG
Arma Mortífera 4,Lethal Weapon 4,TRUE,TRUE,1998,122,Acção,Z:\Databases\DVD_1\Images\5606376506914.15F.JPG
As Asas do Desejo,Der Himmel über Berlin,TRUE,TRUE,1987,122,Drama,Z:\Databases\DVD_1\Images\ICD1692F64F54CE71.15F.JPG
As Aventuras de Blueberry,Blueberry,TRUE,TRUE,2004,119,Western,Z:\Databases\DVD_1\Images\5608652026574.15F.JPG
As Aventuras De Mowgli,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\M9.15F.JPG
As Aventuras de Peter Pan,Peter Pan,TRUE,TRUE,1953,75,Animação,Z:\Databases\DVD_1\Images\5601887490073.15F.JPG
As Aventuras de Tintim: A Ilha Negra,Les Aventures de Tintin: L'Ile Noire,TRUE,TRUE,1990,40,,Z:\Databases\DVD_1\Images\5605189006604.15F.JPG
As Aventuras de Tintim: O Ceptro de Ottokar,Les Aventures de Tintin: Le Sceptre D'Ottokar,TRUE,TRUE,1990,50,,Z:\Databases\DVD_1\Images\I5F65E5490130B92A.15F.JPG
As Aventuras de Tintim: Objetivo Lua,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\5602227301844.15F.JPG
As Aventuras De Tintim: Pisando a Lua,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\M10.15F.JPG
As aventuras de Tintim: Tintim no Tibete,,TRUE,TRUE,2003,41,Aventura,Z:\Databases\DVD_1\Images\3309450018694.8F.JPG
As Aventuras Do Pica-pau,,TRUE,TRUE,0,0,,Z:\Databases\DVD_1\Images\M11.15F.JPG
As Aventuras do Tigre,The Tigger Movie,TRUE,TRUE,2000,77,Animação,Z:\Databases\DVD_1\Images\5601887410651.15F.JPG
As bandeiras dos nossos pais,Flags of Our Fathers,TRUE,TRUE,2006,132,Guerra,Z:\Databases\DVD_1\Images\7321974121618.15F.JPG
As Confissões de Schmidt,About Schmidt,TRUE,TRUE,2002,120,Comédia,Z:\Databases\DVD_1\Images\5608652018210.15F.JPG
As Duas Feras,Bringing up Baby,TRUE,TRUE,1938,102,Comédia,Z:\Databases\DVD_1\Images\I40E2855E5D4A3E71.15F.JPG
As Férias do Sr. Hulot,Les vacances de Monsieur Hulot,TRUE,TRUE,1953,83,Comédia,Z:\Databases\DVD_1\Images\5606699505281.15F.JPG
As Horas,The Hours,TRUE,TRUE,2002,112,Drama,Z:\Databases\DVD_1\Images\5608652020039.15F.JPG
As Irmãs de Maria Madalena,The Magdalene Sisters,TRUE,TRUE,2002,115,Drama,Z:\Databases\DVD_1\Images\I0BBB3DBF5F646868.15F.JPG
As Leis da Atracção,Laws of Attraction,FALSE,TRUE,2004,87,Comédia,Z:\Databases\DVD_1\Images\5602193341950.15F.JPG
As Minas do Rei Salomão,King Solomon's Mines,TRUE,TRUE,2004,169,,Z:\Databases\DVD_1\Images\5601887464319.15F.JPG
As Paixões de Júlia,Being Julia,TRUE,TRUE,2004,99,Drama,Z:\Databases\DVD_1\Images\5608652027076.15F.JPG
As Quatro Penas Brancas,The Four Feathers,TRUE,TRUE,2002,130,Aventura,Z:\Databases\DVD_1\Images\5601684000017.15F.JPG
As regras de Brooklyn,Brooklyn Rules,TRUE,TRUE,2007,99,Drama,Z:\Databases\DVD_1\Images\5051429101453.4F.JPG
Assalto á 13ª Esquadra,Assault on Precinct 13,TRUE,TRUE,2005,104,Acção,Z:\Databases\DVD_1\Images\5602193324502.15F.JPG
Assalto ao Aeroporto,Die Hard 2,TRUE,TRUE,1990,123,Acção,Z:\Databases\DVD_1\Images\5600304162777.15F.JPG
Assalto ao Arranha-Céus,Die Hard,TRUE,TRUE,1988,127,Acção,Z:\Databases\DVD_1\Images\5608652000338.15F.JPG
Assalto ao metro 123,The Taking of Pelham 1 2 3,TRUE,TRUE,2009,106,Acção,Z:\Databases\DVD_1\Images\8414533064828.15F.JPG
Assalto Mortífero,"Truth or Consequences, N.M.",TRUE,TRUE,1997,107,Acção,Z:\Databases\DVD_1\Images\043396826991F.JPG
